Substation,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7
Hetauda,Gramin,,Bhutandevi,,Uniliver,Chaughada,
Simara,Simara,Hulas,Dumarwana,Jitpur,Musaharni Mai,,"Naraswati, Rambahan"
Amlekhganj ,,,,,,,Amalekhganj
Birganj,Birgunj-1,Birgunj-2,Kalaiya 33 KV,,Birgunj-4,Birgunj-5,"Pokhariya 33KV, Birgunj-6"
Parwanipur,Gramin,,Krishi,,,,Parawani Gandak
Chapur,Nijgadh 33 KV,,Gaur 33 KV,Harsha 33KV,,"Haripur 33KV, Chapur South ",Chapur North
Dhalkebar,,Sindhuli 33 KV,Lalgadh,Janakpur-1 33KV,"Malangawa 33KV, Janakpur-2 33KV, Mahendranagar",,Godar
Lahan,,,Rupeni 33 KV,"Bisanpur 33KV, Lahan",Jaljale 33KV,,"Bastipur, Jahadi, Thadi"
Bharatpur,"Bhukuti, Narayanghat",Sichai,Parsa 33 KV,Chanauli 33KV,Bharatpur,,Gaidakot
Kawasoti,,,Pragatinagar,11KV Rajhar,,Kawasoti 33KV,
Bardaghat,Pratappur,,,Sunwal,Dumkibas,,Bardaghat Bazaar
Butwal,"Bhairahawa 33 KV Old, Bhairahawa 33 KV New-1","Bhumigat Sichai, Bhairahawa New-2 33 KV, Lumbini 33 KV",Butwal West,,,Butwal East,"Saljhandi, New Mill"
Chauraha,,,,"Parasi 33KV, Trans incomer",,,
Palpa,Palpa Bazaar,West,,"Gulmi, Arghakhanci 33KV",East,,
Shivapur,Pipara,Bahadurgunj,,Shivapur,Krishnanagar 33KV,,
Lamahi,Lamahi,,Rihar,,Ghorahi 33KV,,"Bhaluwang, Gaduwa"
Damauli,Seto Pasal-1,,Damauli,Tharpu,Tanahasur,Anbu Khaireni 33KV,
Udipur,,,,,Bhote Odar,,Okhari
Lekhnath,Begnas,,Kalika,,Khaireni,,Budhi Bazaar
Pokhara,Fewa,"Siti, Airport",Bazaar,Baidam,Arwa,Sarangkot,Tatopani
Sunkoshi,"Charikot, Jiri",Lamosadhu,Myagnesite,Barhabise,,"Pakhar, Chautara",
Trishuli,Nuwakot,,Tupche,Dhunche,Trishuli Bazaar and Ramanghe,Bidur,Colony
Devighat,Chainpur,,,Coloni and Barack,,,"Ranipouwa, Bumtang"
Gazuri/Dhading,Murali Bhanjyang,Sunaula Bazaar,Gajuri,Adamghat,Salyantar,,
Gandak,,,"Triveni, Local Surajpura",,,,
Modi,,,,,Local 11KV,Baglung 33KV,
